予約番号,利用日,スペース名,利用者名,利用金額,ステータス
YY93810,2024/02/27,店舗A,ユーザー95,12012,確定
YY42098,2024/04/24,店舗A,ユーザー95,6358,確定
YY98696,2024/10/06,店舗A,ユーザー76,16825,確定
YY14165,2024/01/16,店舗A,ユーザー28,10623,確定
YY76237,2024/11/04,店舗A,ユーザー72,9515,確定
YY95181,2024/12/25,店舗C,ユーザー54,10223,確定
YY68878,2024/10/28,店舗B,ユーザー1,27864,確定
YY30926,2024/12/23,店舗B,ユーザー44,12105,確定
YY30379,2024/04/20,店舗B,ユーザー14,6039,確定
YY59797,2024/02/19,店舗B,ユーザー45,22782,確定
YY44671,2024/01/23,店舗C,ユーザー59,20571,確定
YY26361,2024/07/12,店舗A,ユーザー71,12606,確定
YY92397,2024/11/12,店舗B,ユーザー74,9300,確定
YY19116,2024/01/24,店舗C,ユーザー30,28331,確定
YY47930,2024/02/10,店舗A,ユーザー13,15455,確定
YY46434,2024/08/20,店舗C,ユーザー47,8329,確定
YY58520,2024/06/30,店舗A,ユーザー86,11748,確定
YY99593,2024/11/27,店舗A,ユーザー78,23806,確定
YY32431,2024/09/30,店舗C,ユーザー32,8354,確定
YY70589,2024/07/13,店舗B,ユーザー82,25549,確定
YY83000,2024/04/22,店舗C,ユーザー42,28176,確定
YY17331,2024/04/27,店舗A,ユーザー41,16145,確定
YY45093,2024/02/03,店舗A,ユーザー73,26524,確定
YY51245,2024/04/18,店舗C,ユーザー64,15964,確定
YY94259,2024/08/22,店舗A,ユーザー34,7575,確定
YY42325,2024/10/14,店舗C,ユーザー34,27478,確定
YY86622,2024/08/07,店舗C,ユーザー52,14861,確定
YY38746,2024/03/11,店舗C,ユーザー64,5978,確定
YY16175,2024/02/26,店舗A,ユーザー81,8242,確定
YY99192,2024/08/04,店舗C,ユーザー9,15608,確定
YY60019,2024/11/01,店舗B,ユーザー68,11238,確定
YY82512,2024/01/06,店舗C,ユーザー93,6753,確定
YY99353,2024/10/01,店舗B,ユーザー99,24003,確定
YY54587,2024/02/27,店舗B,ユーザー56,8182,確定
YY69470,2024/01/02,店舗C,ユーザー93,11630,確定
YY75612,2024/04/01,店舗C,ユーザー14,23489,確定
YY49117,2024/11/23,店舗C,ユーザー78,9517,確定
YY30032,2024/07/10,店舗A,ユーザー70,28514,確定
YY79514,2024/01/01,店舗C,ユーザー42,19010,確定
YY12552,2024/02/27,店舗B,ユーザー40,10846,確定
YY17592,2024/05/03,店舗C,ユーザー11,5806,確定
YY73699,2024/02/05,店舗C,ユーザー99,7120,確定
YY26828,2024/12/03,店舗B,ユーザー71,8410,確定
YY44741,2024/09/27,店舗C,ユーザー55,9940,確定
YY80686,2024/12/19,店舗A,ユーザー92,13214,確定
YY62296,2024/12/09,店舗C,ユーザー48,17355,確定
YY77839,2024/08/19,店舗A,ユーザー32,10362,確定
YY18392,2024/06/22,店舗A,ユーザー76,21150,確定
YY40161,2024/10/28,店舗A,ユーザー1,5326,確定
YY92719,2024/01/31,店舗A,ユーザー9,4029,確定
YY53309,2024/02/06,店舗C,ユーザー31,12125,確定
YY97684,2024/09/05,店舗A,ユーザー70,7335,確定
YY84847,2024/10/22,店舗B,ユーザー32,28710,確定
YY71993,2024/07/27,店舗A,ユーザー13,6176,確定
YY96374,2024/08/08,店舗B,ユーザー55,16470,確定
YY71213,2024/01/28,店舗C,ユーザー84,24174,確定
